,ID,ra,dec
1820,J143356.72+293757.0,218.48634,29.632494
1821,J152844.94+245320.3,232.18726,24.888983
1823,J155604.35+215159.8,239.01811,21.866598
1825,J140848.84+323954.4,212.20351,32.665123
1826,J144802.42+295447.5,222.0101,29.913197
1830,J161822.97+201519.2,244.5957,20.255322
1831,J105909.47+321111.3,164.78946,32.186466
1832,J112219.56+325619.1,170.5815,32.938644
1833,J143358.28+290834.0,218.49284,29.14278
1834,J093116.01+263259.6,142.8167,26.549889
1835,J153843.68+233559.2,234.68201,23.599775
1836,J075307.05+150654.3,118.27938,15.115072
1837,J081955.60+185733.5,124.98165,18.959295
1838,J093629.78+273443.6,144.1241,27.578777
1839,J132945.39+332113.1,202.43913,33.353626
1840,J134244.63+325023.5,205.68597,32.839855
1841,J144400.17+291556.6,221.00072,29.265724
1842,J101507.33+310723.5,153.78053,31.123201
1843,J103306.42+320429.7,158.27673,32.074905
1844,J104955.08+325927.0,162.47948,32.990822
1845,J131310.35+342102.9,198.29312,34.350796
1846,J131409.52+342100.5,198.53966,34.350151
1847,J132035.41+340821.6,200.14754,34.139328
1848,J140451.31+320836.0,211.21381,32.143341
1849,J090600.94+252233.7,136.50391,25.376019
1850,J091934.14+264735.7,139.89227,26.793247
1851,J104744.51+331653.2,161.93546,33.281452
1852,J111750.13+342928.4,169.45886,34.491226
1853,J141025.49+321946.0,212.6062,32.329453
1854,J141042.85+321555.6,212.67854,32.265446
1855,J152924.68+255947.9,232.35284,25.996641
1856,J153745.12+250824.8,234.43799,25.14023
1857,J153926.07+245636.9,234.85863,24.943577
1859,J161206.80+205718.5,243.02832,20.955135
1860,J094111.47+291504.1,145.29781,29.251127
1861,J102603.18+323706.6,156.51323,32.618511
1862,J103218.44+330009.7,158.07683,33.002697
1863,J103621.86+331240.7,159.09109,33.211311
1864,J105706.96+341255.3,164.27901,34.21537
1865,J112648.65+351454.2,171.70271,35.248398
1867,J123525.86+355622.9,188.85777,35.939697
1868,J125245.07+354131.9,193.18779,35.692181
1869,J142640.02+272602.9,216.66676,27.434149
1870,J151100.79+243141.6,227.7533,24.528234
1871,J140529.94+293508.0,211.37476,29.585567
1872,J143346.11+275701.0,218.44211,27.950277
1873,J143348.32+281504.0,218.45134,28.25112
1874,J142143.51+293028.0,215.43129,29.507782
1875,J120640.07+313252.8,181.66695,31.548
1876,J121244.05+312700.6,183.18355,31.450171
1877,J131803.94+304144.0,199.51643,30.695543
1878,J134500.60+294855.8,206.25249,29.815502
1879,J125258.34+313830.1,193.24307,31.641682
1880,J115731.73+322030.2,179.38222,32.341713
1882,J130222.84+315758.4,195.59517,31.966227
1884,J120612.26+324047.3,181.55109,32.679798
1885,J120924.64+324402.0,182.35265,32.733902
1886,J125654.93+322700.5,194.22887,32.45015
1887,J130528.22+321434.7,196.36757,32.24297
1888,J133141.66+313144.5,202.92357,31.529041
1889,J134954.31+304838.9,207.4763,30.810802
1890,J135005.00+304615.4,207.52083,30.770937
1891,J120806.99+330628.5,182.02914,33.107929
1892,J122157.84+331528.6,185.49098,33.257935
1893,J125334.66+330152.6,193.39442,33.031273
1894,J131853.51+322844.8,199.72296,32.479107
1895,J132444.89+321442.4,201.18704,32.245121
1896,J114636.11+332746.6,176.65044,33.462936
1897,J130833.89+330441.2,197.14119,33.078125
1898,J163327.82+164120.1,248.36591,16.688913
1899,J111809.78+302424.4,169.54077,30.406775
1900,J114855.66+310608.8,177.2319,31.102438
1901,J132023.07+302641.0,200.09612,30.444727
1902,J105846.38+301127.6,164.69325,30.190996
1903,J113342.85+311440.0,173.42853,31.24444
1904,J115307.11+313946.9,178.27963,31.663021
1905,J124415.11+314242.3,191.06294,31.711763
1907,J115634.13+320741.3,179.1422,32.128139
1909,J122455.86+320935.7,186.23273,32.159916
1910,J135120.49+300007.3,207.83539,30.002033
1911,J141602.93+284807.4,214.01221,28.802067
1912,J142342.26+282045.9,215.92609,28.346088
1913,J111054.08+312809.8,167.72533,31.469385
1914,J113226.23+320700.0,173.10928,32.11665
1915,J114135.98+321654.0,175.39992,32.281662
1916,J114710.40+321718.5,176.79332,32.288467
1917,J115802.87+322516.2,179.51196,32.421165
1918,J133017.38+311958.0,202.5724,31.332783
1919,J141344.05+292601.3,213.43355,29.433706
1920,J142306.34+285013.0,215.77641,28.836958
1921,J104623.74+304755.5,161.59891,30.798754
1922,J110211.36+313005.1,165.54733,31.501413
1923,J115438.93+325551.6,178.6622,32.930992
1926,J133346.77+313459.6,203.44489,31.58321
1927,J140009.74+303724.8,210.0406,30.623558
1929,J110754.07+320720.6,166.9753,32.122391
1930,J111148.62+322203.5,167.95259,32.367626
1931,J130224.33+325453.8,195.60139,32.914936
1932,J143216.76+285949.0,218.06984,28.996946
1933,J150137.50+253056.1,225.40623,25.515593
1934,J151320.77+242948.8,228.33653,24.49688
1935,J102117.05+275544.0,155.32104,27.9289
