ID,RA,DEC,CLASS
J021129.41+142803.6,32.87254,14.467672,disturbed
J075540.89+411505.7,118.92039,41.251583,exclude
J090729.05+573614.8,136.87103,57.604099,uncertain
J212858.26+112159.4,322.24277,11.3665,big
J081309.71+381102.5,123.29046,38.184036,exclude
J095526.91+544809.0,148.86211,54.802498,exclude
J105525.20+544651.5,163.85498,54.780972,exclude
J090554.50+471045.5,136.47707,47.179302,disturbed
J110910.40+081107.9,167.29332,8.1855316,disturbed
J125227.71+600400.7,193.11545,60.066853,disturbed
J082819.38+281611.6,127.08075,28.269888,exclude
J103713.84+144049.8,159.30766,14.680509,exclude
J113044.71+384925.2,172.68628,38.823654,disturbed
J135610.36+300550.9,209.04318,30.097479,disturbed
J105214.96+300328.3,163.06233,30.057865,disturbed
J140454.55+104807.1,211.22731,10.801985,big
J145402.13+100451.3,223.50888,10.080911,big
J143439.03+475805.9,218.66261,47.968319,disturbed
J141341.92+081318.2,213.42468,8.2217293,disturbed
J113821.14+472614.5,174.58809,47.437355,disturbed
J141950.33+441642.8,214.95972,44.278561,disturbed
J143046.02+001451.6,217.69176,0.2476761,disturbed
