,ID,ra,dec
6,J131017.89-004023.4,197.57454,-0.67317915
35,J145544.63+005158.0,223.93597,0.86612374
38,J015946.42+122727.0,29.943436,12.4575
53,J033419.46-073517.1,53.581093,-7.5880713
57,J033637.00-064529.9,54.154167,-6.7583008
68,J130500.42-025339.8,196.25174,-2.8943927
79,J115330.04-034252.0,178.37515,-3.7144365
86,J115358.98-024731.2,178.49574,-2.7920098
90,J132233.29-021836.1,200.63872,-2.3100228
115,J094952.49+601017.3,147.46869,60.171459
137,J134049.14+654926.1,205.20473,65.823921
140,J132032.58+665938.8,200.13574,66.994118
141,J143534.18+633328.6,218.89241,63.557945
175,J161140.82+522726.9,242.92009,52.457481
176,J105045.74+664146.9,162.6906,66.696365
178,J082826.29+503154.4,127.10953,50.53178
184,J164057.13+445624.4,250.23805,44.940113
194,J153601.20+011036.5,234.00502,1.1768008
195,J115712.45+022828.0,179.30186,2.4744351
208,J120122.17+034320.9,180.34238,3.7224801
220,J095920.77+011754.9,149.83653,1.2985911
233,J093127.90+015929.6,142.86623,1.9915664
265,J112127.98+032454.4,170.36658,3.4151087
266,J123956.36+032023.2,189.98485,3.3397787
273,J145522.85+033654.6,223.8452,3.6151786
290,J215328.53-080411.7,328.36887,-8.0699205
292,J222838.09-085647.5,337.15872,-8.9465284
295,J214809.22-074116.4,327.03842,-7.6878777
315,J020605.55-094522.0,31.523136,-9.7561083
327,J014137.22-091435.2,25.405096,-9.2431154
341,J212325.28-072858.8,320.85532,-7.4830136
352,J225608.34+130337.9,344.03473,13.06052
356,J221541.56+121921.5,333.92316,12.322635
393,J074739.25+364125.0,116.91354,36.690269
410,J103632.74+014134.2,159.13641,1.6928277
411,J112635.88+015318.5,171.64951,1.8884678
417,J102750.83+023633.9,156.96179,2.6094205
430,J081152.93+403349.0,122.97054,40.563622
433,J080934.82+415836.1,122.39507,41.976696
438,J114537.19+643041.3,176.40494,64.511482
459,J081436.42+383353.0,123.65174,38.564728
464,J151543.79+571932.8,228.93245,57.325768
483,J105025.36-002011.2,162.60565,-0.33643413
492,J132254.22+034954.6,200.72592,3.8318295
508,J141934.13+043822.8,214.89221,4.6396599
509,J145536.94+041219.0,223.90392,4.2052803
512,J124825.08+054148.1,192.10451,5.6967082
517,J155425.88+034117.1,238.60785,3.6880841
518,J123856.35+060930.2,189.7348,6.1583862
543,J121247.46+591121.9,183.19774,59.189423
556,J090440.26+495815.8,136.16777,49.971054
561,J153927.97+525950.7,234.86655,52.997421
563,J170243.27+340449.5,255.68031,34.080418
578,J162958.06+403742.8,247.49193,40.628544
602,J133350.83-015556.3,203.46179,-1.9323055
604,J134636.11-014304.8,206.65044,-1.7179958
605,J140252.60-014851.8,210.71915,-1.8143874
614,J141854.07-031200.4,214.72528,-3.2001114
622,J143750.16-020905.8,219.45901,-2.1516173
633,J141615.62-012752.6,214.06508,-1.4646215
639,J144532.24-024439.1,221.38432,-2.7441909
644,J153222.88-010450.5,233.09535,-1.0806926
645,J141227.18+053401.6,213.11327,5.5671148
649,J140752.20+064751.0,211.96751,6.7975035
666,J223728.39+140200.3,339.36829,14.033428
674,J225811.23-100537.6,344.54678,-10.09377
675,J220951.16-084716.6,332.46317,-8.7879343
676,J222203.70-090255.1,335.51541,-9.0486307
680,J203848.55-001334.9,309.7023,-0.2263504
683,J210905.84-002050.6,317.27435,-0.34738547
692,J002134.87-005952.8,5.395298,-0.99798793
697,J001828.09-003412.4,4.617053,-0.57010847
699,J223011.29-000915.8,337.54706,-0.15438774
707,J002208.69+002200.5,5.5362172,0.36680031
711,J221755.83+004709.8,334.48264,0.7860685
721,J005057.38+010911.6,12.739087,1.1532127
733,J024112.93-005236.9,40.303883,-0.8769241
735,J014421.47-003633.1,26.08947,-0.60918725
736,J015816.15-003121.0,29.567308,-0.52251107
741,J011540.88-000826.1,18.920321,-0.14057508
742,J015633.06-001029.9,29.137758,-0.17497596
744,J014500.45+001349.2,26.251877,0.23033696
755,J084021.03+385527.8,130.08762,38.924393
761,J084845.30+393741.3,132.18877,39.628147
762,J085453.12+402831.0,133.72134,40.475277
801,J082101.24+374242.9,125.25518,37.711918
809,J074533.82+300251.4,116.3909,30.047619
810,J090001.04+451636.5,135.00433,45.276814
821,J112150.68+563203.3,170.46117,56.534241
831,J120814.83+580625.1,182.06181,58.106983
834,J093347.68+483858.6,143.44868,48.649609
845,J085813.75+385631.9,134.55731,38.942204
850,J085845.25+393032.5,134.68855,39.509033
869,J101921.10+490703.2,154.83791,49.11755
873,J090140.28+372410.3,135.41782,37.402874
877,J085902.83+372555.2,134.76178,37.432007
881,J095906.82+444745.9,149.77843,44.796085
