ID,RA,DEC,CLASS
J120829.22-004116.9,182.12173,-0.68802363,overlap
J123822.26-004953.5,189.59276,-0.83151948,disturbed
J130003.79-002215.4,195.01579,-0.3709543,disturbed
J154439.92-002507.6,236.16632,-0.41877106,disturbed
J162329.52-002152.6,245.87302,-0.36460844,overlap
J163203.11-001542.6,248.01295,-0.26182222,overlap
J111951.89+000418.6,169.96622,0.071827717,exclude
J142227.62+000332.6,215.6151,0.059047092,exclude
J120605.88+002749.9,181.52448,0.46385905,exclude
J123108.37+003649.3,187.78488,0.61370295,big
J135156.38+003304.0,207.98492,0.55110866,overlap
J002913.12+142340.4,7.3046775,14.394567,exclude
J004905.04+153305.5,12.271001,15.551515,disturbed
J005127.67+160443.1,12.865309,16.07865,uncertain
J041123.05-055445.2,62.846046,-5.9125528,exclude
J030758.15-070356.7,46.992294,-7.0657587,exclude
J035819.84-053219.9,59.582653,-5.5388727,exclude
J022532.65-072525.5,36.386028,-7.4237428,exclude
J115525.21-032702.1,178.85504,-3.4505806,exclude
J130045.80-032901.5,195.19083,-3.4837589,disturbed
J122005.54-025613.5,185.0231,-2.9370766,uncertain
J122132.35-023641.7,185.38481,-2.6115885,exclude
J114818.19-013823.8,177.07578,-1.6399317,disturbed
J131020.70-011916.8,197.58627,-1.3213311,uncertain
J131853.34-011242.4,199.72223,-1.2117797,uncertain
J132342.58-032811.8,200.92743,-3.4699368,exclude
J112829.78-022440.4,172.1241,-2.4112232,disturbed
J124232.55-021905.7,190.63564,-2.3182576,exclude
J114804.90-015222.4,177.02043,-1.8728945,uncertain
J123811.76-015922.0,189.54901,-1.9894336,exclude
J124512.22-015744.3,191.3009,-1.9623085,uncertain
J113610.72-012503.3,174.04468,-1.4175751,uncertain
J131531.37-013129.9,198.88072,-1.5249832,uncertain
J083910.78+501201.6,129.79491,50.200432,uncertain
J085152.63+522833.0,132.9693,52.475822,exclude
J082042.71+471918.3,125.17794,47.321751,uncertain
J081747.40+472344.0,124.44752,47.395565,disturbed
J082531.30+493834.7,126.38042,49.64296,exclude
J100614.18+612741.3,151.5591,61.461468,exclude
J165413.16+614426.0,253.55482,61.740551,exclude
J171929.92+552558.8,259.87466,55.432991,exclude
J165533.36+631431.9,253.88902,63.242184,disturbed
J172108.99+582200.7,260.28745,58.366863,exclude
J115506.90+663350.9,178.77876,66.564125,exclude
J124746.08+663756.3,191.94199,66.632309,uncertain
J140233.35+642626.5,210.63896,64.440704,exclude
J073253.65+362543.3,113.22353,36.428707,exclude
J140833.92+655829.5,212.14134,65.974869,disturbed
J171248.79+635616.9,258.20331,63.93803,exclude
J174145.43+552601.6,265.4393,55.433773,uncertain
J172958.29+554603.9,262.49286,55.767754,exclude
J171342.98+640455.1,258.42908,64.08197,uncertain
J172803.46+580925.7,262.0144,58.157146,disturbed
J080656.52+483108.6,121.7355,48.519066,disturbed
J151651.46+591330.0,229.2144,59.224991,uncertain
J153413.34+571707.1,233.5556,57.285297,uncertain
J120641.65+672555.0,181.67355,67.431931,exclude
J130755.07+670022.0,196.97945,67.006111,exclude
J161025.98+521542.5,242.60825,52.261818,exclude
J122806.45+013426.8,187.02689,1.5740997,exclude
J144127.58+012921.9,220.36491,1.489403,exclude
J151051.35+014152.9,227.71396,1.6980331,uncertain
J142927.06+022327.9,217.36276,2.3910844,exclude
J150107.77+021758.5,225.28238,2.2995737,exclude
J121709.95+033545.2,184.29144,3.5958943,exclude
J113632.74+012247.3,174.1364,1.3798051,exclude
J122245.47+011628.0,185.68944,1.2744398,disturbed
J132407.80+011436.3,201.03249,1.243422,exclude
J085920.83+005142.2,134.83681,0.86170942,disturbed
J095306.82+011459.1,148.27841,1.2497497,exclude
J100126.54+012141.9,150.36058,1.3616408,disturbed
J093338.91+013747.6,143.41212,1.629882,uncertain
J120349.20+020557.0,180.95502,2.0991614,uncertain
J141642.29+015557.9,214.17619,1.9327592,exclude
J141717.87+015512.0,214.32446,1.9200107,exclude
J135121.12+022035.5,207.838,2.3431928,exclude
J135901.54+022521.9,209.75642,2.422761,exclude
J144320.32+020523.6,220.83466,2.08989,disturbed
J115653.89+030459.9,179.22453,3.0832994,uncertain
J130051.36+025528.5,195.21399,2.9245954,uncertain
J141425.69+024543.9,213.60706,2.7621894,exclude
J095636.67+025243.3,149.1528,2.8787038,uncertain
J104646.73+030942.9,161.69469,3.1619263,disturbed
J145333.72+030630.3,223.39049,3.1084151,disturbed
J154648.51+024851.1,236.70213,2.8141828,exclude
J210000.45-071849.3,315.00189,-7.3137069,exclude
J214036.67-083948.8,325.1528,-8.6635656,exclude
J214237.98-081606.9,325.65823,-8.2685947,exclude
J213718.84-074124.3,324.32849,-7.6900735,disturbed
J223755.70-084156.9,339.48209,-8.699131,disturbed
J215315.67-071723.6,328.31528,-7.2899022,disturbed
J224145.97-075802.8,340.44153,-7.9674554,disturbed
J000715.94-110414.7,1.8164307,-11.070747,disturbed
J013259.95-103552.7,23.249794,-10.59796,disturbed
J020920.84-100759.1,32.336845,-10.133094,big
J022640.87-094242.8,36.670307,-9.7118893,disturbed
J233648.23-103242.3,354.20096,-10.545076,disturbed
J001654.99-102344.0,4.2291446,-10.395561,exclude
J002316.49-101850.2,5.8186955,-10.313958,disturbed
J005421.33-101721.3,13.588861,-10.289259,exclude
J010143.57-100708.5,15.431522,-10.119031,disturbed
J024903.61-081225.1,42.265049,-8.2069845,exclude
J033416.50-070349.7,53.568741,-7.0637975,disturbed
J015242.21-091154.0,28.175888,-9.1983423,uncertain
J013258.54-085337.8,23.243923,-8.8938417,disturbed
J013440.94-083402.3,23.670586,-8.5672932,uncertain
J031018.04-062605.0,47.575165,-6.4347358,disturbed
J034905.53-051318.6,57.27306,-5.2218299,uncertain
J210455.01-072325.7,316.22922,-7.390471,uncertain
J212603.52+102420.8,321.51465,10.405786,exclude
J223854.24+131140.0,339.72598,13.194452,disturbed
J235502.88+142552.0,358.76199,14.4311,exclude
J232425.45+144730.2,351.10605,14.791726,exclude
J220640.66+131605.2,331.6694,13.268103,exclude
J220630.89+132435.9,331.62869,13.409972,disturbed
J225752.74+144450.9,344.46973,14.747483,disturbed
J001850.59-103026.9,4.7108054,-10.507474,exclude
J005509.33-101922.5,13.788874,-10.322904,disturbed
J005609.09-093655.4,14.037868,-9.6153908,exclude
J013813.21-092900.3,24.55504,-9.483407,uncertain
J021918.53-075334.8,34.827217,-7.893003,uncertain
J080552.14+400928.1,121.46726,40.15781,uncertain
J232740.06-101642.9,351.91693,-10.278572,disturbed
J095638.73+010534.5,149.16139,1.0929127,disturbed
J100103.50+010707.2,150.2646,1.1186545,exclude
J102743.62+011138.4,156.93175,1.1939903,disturbed
J102912.83+012048.8,157.30344,1.3468802,exclude
J104255.18+011559.7,160.72992,1.2665824,disturbed
J110854.74+024035.8,167.2281,2.6765988,disturbed
J111459.94+024552.1,168.74974,2.7644591,disturbed
J112938.14+031504.2,172.40892,3.2511625,disturbed
J082718.07+460203.1,126.8253,46.034191,uncertain
J075950.59+392558.8,119.96081,39.43301,uncertain
J123216.56+635440.0,188.06898,63.911125,exclude
J132240.76+625339.5,200.66985,62.894306,uncertain
J110317.08+632232.4,165.82117,63.375679,exclude
J114520.00+642628.8,176.33334,64.441345,exclude
J123153.80+643909.5,187.97418,64.652649,uncertain
J115030.78+654427.5,177.62823,65.740982,disturbed
J120717.64+655933.9,181.8235,65.99276,exclude
J095040.80+040034.0,147.66998,4.0094533,exclude
J075537.95+335301.1,118.90813,33.883629,uncertain
J134716.41+623039.7,206.81836,62.511024,exclude
J140637.61+632927.9,211.65672,63.491081,exclude
J081430.66+381913.4,123.62775,38.320389,exclude
J080746.76+371427.9,121.94482,37.241093,exclude
J083810.61+433604.9,129.5442,43.601364,exclude
J092229.44+502548.5,140.62267,50.430149,big
J084311.01+451101.0,130.79588,45.18362,exclude
J100054.68-001838.1,150.22784,-0.31058767,exclude
J104509.09+000433.3,161.28786,0.075926758,overlap
J095728.85+003517.4,149.37022,0.5881784,exclude
J122548.64+661422.4,186.45265,66.239548,exclude
J125733.69+035521.5,194.39037,3.9226372,disturbed
J134233.60+033930.4,205.64001,3.6584361,exclude
J144042.84+032755.5,220.17848,3.4654226,big
J133226.12+044435.3,203.10883,4.7431459,exclude
J150913.45+035547.8,227.30603,3.92995,overlap
J161113.54+522649.3,242.8064,52.447018,exclude
J151017.70+611311.9,227.57373,61.219963,exclude
J103508.64+563238.9,158.786,56.544125,overlap
J121440.58+592033.7,183.6691,59.342701,disturbed
J092328.69+504739.3,140.86955,50.79425,exclude
J091308.50+503021.4,138.28542,50.505955,exclude
J083733.34+454054.6,129.38893,45.681843,exclude
J110043.90+592325.7,165.18292,59.39048,uncertain
J170344.44+333938.4,255.93517,33.660671,exclude
J161903.57+463324.5,244.76488,46.556805,exclude
J170910.66+310133.8,257.2944,31.026045,exclude
J171014.44+303854.8,257.56018,30.648546,exclude
J170314.07+333041.5,255.80864,33.511532,exclude
J170240.36+333115.8,255.66815,33.521046,exclude
J135115.23-030812.2,207.81346,-3.1367242,disturbed
J134613.60-023705.7,206.55666,-2.6182375,exclude
