,ID,ra,dec
0,J155248.96-003135.6,238.20399,-0.52655691
1,J160652.25-000018.8,241.7177,-0.0052314941
2,J114759.55-010636.1,176.99812,-1.1100186
3,J120829.22-004116.9,182.12173,-0.68802363
4,J121345.24-005004.4,183.43852,-0.83456528
5,J123822.26-004953.5,189.59276,-0.83151948
7,J115842.07-001251.1,179.67529,-0.2142003
8,J121658.50-001318.8,184.24376,-0.22188111
9,J124932.74-002235.7,192.38641,-0.37657821
10,J130003.79-002215.4,195.01579,-0.3709543
11,J154439.92-002507.6,236.16632,-0.41877106
12,J162110.95-002348.1,245.29564,-0.39669478
13,J162329.52-002152.6,245.87302,-0.36460844
14,J163203.11-001542.6,248.01295,-0.26182222
15,J163339.26-001256.1,248.41359,-0.21559301
16,J111951.89+000418.6,169.96622,0.071827717
17,J142227.62+000332.6,215.6151,0.059047092
18,J150229.95+000738.5,225.62479,0.12735072
19,J152124.31+000650.9,230.35129,0.11414887
20,J160639.29+000158.7,241.66371,0.03296705
21,J111512.91+003534.3,168.80379,0.59285289
22,J120605.88+002749.9,181.52448,0.46385905
23,J123108.37+003649.3,187.78488,0.61370295
25,J131641.07+003520.7,199.17114,0.58908474
26,J135156.38+003304.0,207.98492,0.55110866
27,J141713.14+003206.3,214.30476,0.53509635
28,J141802.17+002903.2,214.50905,0.48422593
29,J161707.85+002654.3,244.2827,0.44840577
31,J112319.87+010117.0,170.83278,1.0213792
32,J130915.52+005640.7,197.31468,0.94463521
33,J140500.04+005048.7,211.25018,0.84686267
34,J144608.57+005151.6,221.53569,0.86433047
36,J011649.17+132730.5,19.204863,13.458475
37,J013037.76+131252.0,22.657326,13.214437
39,J005618.70+152517.5,14.077903,15.421529
40,J011249.43+153027.7,18.205942,15.50769
41,J002913.12+142340.4,7.3046775,14.394567
43,J011358.95+140043.2,18.495628,14.011996
44,J021035.34+125505.6,32.647232,12.918221
45,J012839.87+144553.8,22.166136,14.764936
47,J004905.04+153305.5,12.271001,15.551515
48,J011408.31+152411.3,18.534632,15.403145
49,J013921.76+145917.4,24.840654,14.988164
50,J005127.67+160443.1,12.865309,16.07865
51,J014622.00+150953.3,26.591686,15.164806
54,J031515.62-074559.2,48.815063,-7.7664371
55,J033406.97-071053.3,53.52906,-7.1814766
56,J041123.05-055445.2,62.846046,-5.9125528
58,J030758.15-070356.7,46.992294,-7.0657587
59,J035819.84-053219.9,59.582653,-5.5388727
60,J022532.65-072525.5,36.386028,-7.4237428
61,J114657.05-032159.1,176.73772,-3.3664041
62,J115525.21-032702.1,178.85504,-3.4505806
63,J130045.80-032901.5,195.19083,-3.4837589
64,J113638.55-030118.5,174.16061,-3.0218005
65,J114234.57-030534.4,175.64406,-3.0928993
66,J122005.54-025613.5,185.0231,-2.9370766
67,J124730.17-030115.1,191.8757,-3.0208604
69,J130753.43-030100.4,196.97263,-3.0167689
70,J122132.35-023641.7,185.38481,-2.6115885
71,J124821.94-023850.6,192.09142,-2.6474011
72,J114818.19-013823.8,177.07578,-1.6399317
73,J115534.23-012116.3,178.89264,-1.3545295
74,J124103.31-011705.7,190.26378,-1.284904
75,J131020.70-011916.8,197.58627,-1.3213311
76,J131853.34-011242.4,199.72223,-1.2117797
77,J113359.46-033623.0,173.49773,-3.6064026
78,J114330.48-033557.6,175.877,-3.5993266
80,J132342.58-032811.8,200.92743,-3.4699368
81,J125253.92-031811.1,193.22466,-3.3030896
82,J125315.58-031030.3,193.3149,-3.1750703
83,J130354.72-030631.9,195.978,-3.1088586
84,J130455.34-031716.0,196.23059,-3.2877691
85,J114144.85-024428.7,175.43689,-2.741298
87,J123312.86-024611.9,188.30359,-2.7699702
88,J112829.78-022440.4,172.1241,-2.4112232
89,J124232.55-021905.7,190.63564,-2.3182576
91,J114804.90-015222.4,177.02043,-1.8728945
92,J120149.75-015327.6,180.45729,-1.8909916
93,J123811.76-015922.0,189.54901,-1.9894336
94,J124013.19-020036.1,190.05495,-2.0100174
95,J124512.22-015744.3,191.3009,-1.9623085
96,J131324.37-014959.7,198.35155,-1.8332611
97,J113610.72-012503.3,174.04468,-1.4175751
98,J123023.31-013732.2,187.59712,-1.6256125
99,J131409.85-013437.4,198.54106,-1.5770621
100,J131531.37-013129.9,198.88072,-1.5249832
101,J094401.87-003832.2,146.0078,-0.64227331
102,J093939.94-001407.1,144.91641,-0.23530634
103,J094529.71-002206.4,146.37379,-0.36845034
104,J075612.04+395442.6,119.05016,39.911827
106,J083910.78+501201.6,129.79491,50.200432
107,J085152.63+522833.0,132.9693,52.475822
108,J090023.64+534619.3,135.09851,53.772018
110,J081952.85+465847.3,124.9702,46.979813
111,J082042.71+471918.3,125.17794,47.321751
112,J094745.65+592815.3,146.94022,59.470913
113,J074123.05+373335.1,115.34604,37.559742
114,J081747.40+472344.0,124.44752,47.395565
116,J082531.30+493834.7,126.38042,49.64296
118,J101524.23+600832.1,153.85094,60.142262
119,J102438.42+611035.9,156.16008,61.176651
120,J100614.18+612741.3,151.5591,61.461468
121,J165413.16+614426.0,253.55482,61.740551
122,J171327.10+580436.7,258.36292,58.076859
123,J171929.92+552558.8,259.87466,55.432991
124,J170912.74+604950.1,257.30307,60.83057
125,J172437.53+562837.7,261.15637,56.477146
126,J165533.36+631431.9,253.88902,63.242184
127,J170437.70+603506.5,256.1571,60.58514
128,J170506.83+625142.9,256.27847,62.861927
129,J172108.99+582200.7,260.28745,58.366863
131,J132422.19+652425.0,201.09247,65.406944
132,J115506.90+663350.9,178.77876,66.564125
133,J124746.08+663756.3,191.94199,66.632309
134,J140233.35+642626.5,210.63896,64.440704
135,J073253.65+362543.3,113.22353,36.428707
136,J081912.54+494349.5,124.80224,49.730415
138,J141944.67+640303.7,214.93613,64.051025
139,J074054.07+400403.6,115.22531,40.067654
142,J080144.39+470402.1,120.43497,47.067249
143,J121001.54+680051.6,182.50642,68.014328
144,J082303.09+522334.5,125.76289,52.39291
146,J135202.16+665020.2,208.009,66.838951
147,J140833.92+655829.5,212.14134,65.974869
148,J171223.29+623048.8,258.09705,62.513542
149,J171248.79+635616.9,258.20331,63.93803
150,J172823.82+573243.4,262.09927,57.545395
151,J173206.08+583713.9,263.02533,58.620541
152,J174145.43+552601.6,265.4393,55.433773
153,J172958.29+554603.9,262.49286,55.767754
154,J171342.98+640455.1,258.42908,64.08197
155,J172803.46+580925.7,262.0144,58.157146
156,J081347.49+494109.8,123.44788,49.686047
157,J075919.12+465425.9,119.82966,46.907181
158,J080656.52+483108.6,121.7355,48.519066
159,J160241.01+521427.0,240.67087,52.240837
161,J125147.55+664203.1,192.94814,66.700859
162,J151651.46+591330.0,229.2144,59.224991
163,J153413.34+571707.1,233.5556,57.285297
164,J120641.65+672555.0,181.67355,67.431931
165,J125122.91+671823.5,192.84546,67.306541
166,J130755.07+670022.0,196.97945,67.006111
167,J161025.98+521542.5,242.60825,52.261818
168,J091644.03+594628.7,139.18347,59.774628
169,J092903.50+610701.1,142.26459,61.116959
170,J150908.85+611350.6,227.28688,61.230717
171,J151130.87+605723.9,227.87863,60.956638
172,J152648.93+591547.9,231.70386,59.263306
173,J153448.19+582757.5,233.70078,58.465965
174,J153415.32+582256.8,233.56384,58.382446
177,J155630.71+555625.1,239.12794,55.940315
179,J081959.99+501035.8,124.99994,50.176617
180,J082824.56+530813.0,127.10235,53.136948
181,J085541.10+573422.7,133.92123,57.572968
182,J170024.37+382106.1,255.10153,38.3517
183,J162935.60+475959.0,247.39835,47.999725
185,J162921.87+485211.0,247.34111,48.86972
186,J163400.93+474959.0,248.50386,47.83305
187,J165922.80+410232.8,254.84499,41.042439
188,J122806.45+013426.8,187.02689,1.5740997
191,J135144.00+014241.1,207.93332,1.7114036
192,J141432.63+014353.8,213.63597,1.7315998
193,J144127.58+012921.9,220.36491,1.489403
196,J133434.65+021914.1,203.64438,2.3205774
197,J151051.35+014152.9,227.71396,1.6980331
199,J121346.07+024841.5,183.44197,2.8115165
201,J124252.91+025245.0,190.72046,2.8791533
202,J133756.84+024338.9,204.48685,2.7274683
203,J140328.03+023129.6,210.86679,2.5248823
204,J142927.06+022327.9,217.36276,2.3910844
205,J150107.77+021758.5,225.28238,2.2995737
206,J141422.74+025834.1,213.59476,2.9761326
207,J151110.43+023917.6,227.79344,2.6548972
209,J121709.95+033545.2,184.29144,3.5958943
210,J124727.24+033529.6,191.86351,3.5915511
211,J125426.89+033702.7,193.61205,3.617419
212,J105051.81+011001.4,162.71587,1.1670574
213,J112819.29+011314.7,172.08038,1.2207458
214,J113632.74+012247.3,174.1364,1.3798051
215,J122245.47+011628.0,185.68944,1.2744398
216,J132407.80+011436.3,201.03249,1.243422
217,J085920.83+005142.2,134.83681,0.86170942
218,J094334.20+010703.8,145.89252,1.1177185
219,J095306.82+011459.1,148.27841,1.2497497
221,J100126.54+012141.9,150.36058,1.3616408
222,J102633.52+012718.9,156.63968,1.4552381
224,J090028.93+011714.1,135.12053,1.2872558
225,J093338.91+013747.6,143.41212,1.629882
226,J102127.80+015256.4,155.36584,1.8823348
227,J113031.40+021024.2,172.63084,2.1734004
228,J120349.20+020557.0,180.95502,2.0991614
229,J141642.29+015557.9,214.17619,1.9327592
230,J141717.87+015512.0,214.32446,1.9200107
231,J143244.59+015234.0,218.18581,1.8761076
232,J092030.01+015055.5,140.12503,1.8487604
234,J100547.02+021447.8,151.44592,2.2466204
235,J102231.80+022138.9,155.63248,2.3607974
236,J103723.63+021845.5,159.34845,2.3126519
237,J110547.14+022623.5,166.44641,2.4398627
238,J112423.28+023315.3,171.09698,2.5542588
239,J112517.16+022648.9,171.32152,2.4469125
240,J130941.83+022728.6,197.42429,2.4579356
241,J132931.55+022706.1,202.38144,2.4517045
242,J135121.12+022035.5,207.838,2.3431928
243,J135901.54+022521.9,209.75642,2.422761
244,J144320.32+020523.6,220.83466,2.08989
245,J150423.80+015548.2,226.09918,1.9300646
246,J151103.66+015337.5,227.76523,1.8937516
247,J091018.85+021119.0,137.57855,2.1886039
253,J112944.31+025938.6,172.43462,2.9940689
254,J115653.89+030459.9,179.22453,3.0832994
255,J123919.59+025504.7,189.83163,2.9179769
256,J130051.36+025528.5,195.21399,2.9245954
257,J141425.69+024543.9,213.60706,2.7621894
258,J094417.90+024938.7,146.0746,2.8274231
259,J095636.67+025243.3,149.1528,2.8787038
260,J095940.61+030139.7,149.91922,3.0276861
262,J103959.57+030700.3,159.99821,3.1167502
263,J104646.73+030942.9,161.69469,3.1619263
264,J111113.33+031922.7,167.80556,3.3229771
267,J130402.65+032329.2,196.01103,3.3914421
268,J140902.77+031139.3,212.26155,3.1942499
269,J145333.72+030630.3,223.39049,3.1084151
270,J150959.40+030011.1,227.4975,3.0030851
274,J154648.51+024851.1,236.70213,2.8141828
276,J142656.73+042553.0,216.73636,4.4313974
277,J155926.32+025632.3,239.85968,2.9423056
278,J150355.51+042415.1,225.98129,4.4042082
279,J151053.43+041229.0,227.72261,4.208066
280,J153255.76+034613.6,233.23232,3.7704413
282,J210000.45-071849.3,315.00189,-7.3137069
283,J213236.12-082915.0,323.15048,-8.4874897
284,J214036.67-083948.8,325.1528,-8.6635656
285,J214237.98-081606.9,325.65823,-8.2685947
286,J214502.48-082140.1,326.26035,-8.3611269
287,J224959.63-094356.2,342.49844,-9.7322845
288,J205431.46-061844.3,313.63107,-6.3123021
289,J213718.84-074124.3,324.32849,-7.6900735
291,J222321.52-085623.4,335.83966,-8.9398346
293,J224709.35-091829.4,341.78894,-9.3081636
294,J214147.17-072941.2,325.44653,-7.4947691
296,J222627.36-082600.2,336.61401,-8.4333954
297,J223514.71-083908.5,338.81131,-8.6523552
298,J223755.70-084156.9,339.48209,-8.699131
299,J224941.71-085907.5,342.4238,-8.985424
300,J225057.28-085410.9,342.73865,-8.9030285
301,J215315.67-071723.6,328.31528,-7.2899022
302,J215734.31-071921.9,329.39297,-7.3227434
303,J215859.43-072643.9,329.74762,-7.445539
304,J224145.97-075802.8,340.44153,-7.9674554
305,J231158.45-082005.6,347.99353,-8.334898
306,J000715.94-110414.7,1.8164307,-11.070747
307,J004443.70-110238.9,11.182084,-11.044146
308,J013259.95-103552.7,23.249794,-10.59796
309,J014448.49-102726.8,26.202059,-10.457457
310,J020024.59-100838.0,30.102467,-10.143881
311,J020920.84-100759.1,32.336845,-10.133094
312,J022640.87-094242.8,36.670307,-9.7118893
313,J033800.59-074739.5,54.502476,-7.7943072
314,J233648.23-103242.3,354.20096,-10.545076
316,J235654.31-101605.3,359.22629,-10.268144
317,J000357.92-102044.3,0.99133265,-10.345646
318,J001654.99-102344.0,4.2291446,-10.395561
319,J002316.49-101850.2,5.8186955,-10.313958
321,J005421.33-101721.3,13.588861,-10.289259
322,J010143.57-100708.5,15.431522,-10.119031
324,J024903.61-081225.1,42.265049,-8.2069845
325,J033416.50-070349.7,53.568741,-7.0637975
326,J035734.74-060523.2,59.394741,-6.0897651
328,J015242.21-091154.0,28.175888,-9.1983423
329,J000558.00-092117.8,1.4916503,-9.3549404
330,J004541.69-092952.9,11.423712,-9.4980221
331,J013258.54-085337.8,23.243923,-8.8938417
332,J035646.57-051632.5,59.194035,-5.2756877
333,J235021.42-085305.7,357.58926,-8.8849258
335,J005037.01-090406.7,12.654216,-9.0685396
337,J013440.94-083402.3,23.670586,-8.5672932
338,J031018.04-062605.0,47.575165,-6.4347358
339,J034905.53-051318.6,57.27306,-5.2218299
340,J210455.01-072325.7,316.22922,-7.390471
342,J204821.87-060356.8,312.09113,-6.065784
343,J214541.34-073948.4,326.42227,-7.663435
344,J215311.30-073533.6,328.29709,-7.5926642
345,J211446.60-055715.6,318.69418,-5.9543333
346,J214229.60-065202.6,325.62335,-6.8673978
347,J211935.51+094035.9,319.89795,9.6766376
348,J212516.13+095903.5,321.3172,9.9842997
349,J212444.51+100324.6,321.18546,10.056828
350,J213354.21+102849.2,323.47586,10.480347
351,J214651.55+105528.8,326.71481,10.92466
353,J232620.72+133903.3,351.58633,13.650911
354,J234414.91+135326.5,356.06213,13.890697
355,J212603.52+102420.8,321.51465,10.405786
