,ID,ra,dec
2407,J145842.42+570006.7,224.67674,57.001858
2408,J152945.85+533431.7,232.44104,53.575474
2409,J075558.11+265311.3,118.99213,26.886475
2410,J083548.70+350441.0,128.95293,35.078045
2412,J090025.61+390349.3,135.10672,39.063683
2413,J095535.46+453317.3,148.89777,45.554802
2414,J112852.40+510002.5,172.21835,51.000694
2415,J121303.36+513855.0,183.26402,51.648609
2416,J124052.23+513654.9,190.21761,51.615242
2417,J131138.13+505940.7,197.90889,50.994644
2418,J080030.93+282852.9,120.12888,28.48135
2419,J082730.59+341357.2,126.87747,34.232567
2420,J085015.28+380741.8,132.56366,38.128281
2421,J085943.25+392544.7,134.93019,39.429073
2422,J075737.79+281817.1,119.40746,28.304743
2423,J091646.36+423024.4,139.19315,42.506771
2424,J122459.78+524022.2,186.24908,52.672836
2425,J074948.81+270758.1,117.45338,27.132811
2426,J085134.75+391608.3,132.89481,39.268963
2427,J105143.63+510119.8,162.93181,51.022156
2428,J114840.44+523952.1,177.1685,52.664459
2430,J115602.60+525739.9,179.01085,52.961079
2431,J120439.55+525726.3,181.16478,52.957302
2432,J122409.54+525818.3,186.03976,52.971745
2433,J085303.39+400513.5,133.26413,40.087082
2434,J085548.44+403452.2,133.95184,40.581169
2435,J105826.16+514446.6,164.60899,51.746277
2436,J113240.25+525701.4,173.16769,52.950386
2437,J115326.73+531554.1,178.36137,53.265041
2439,J122611.16+532602.1,186.54651,53.43391
2440,J231838.01-011332.5,349.65836,-1.2257077
2441,J233323.58-010835.0,353.34827,-1.1430566
2442,J002026.63-010339.4,5.1109633,-1.0609336
2443,J005629.21-011336.3,14.121703,-1.2267512
2444,J010501.51-011224.2,16.256308,-1.2067337
2445,J015330.19-010544.4,28.375803,-1.0956588
2446,J032045.33-010314.2,50.188858,-1.053957
2447,J233345.80-003948.9,353.44083,-0.66357028
2448,J233453.69-004820.3,353.72372,-0.80562901
2449,J003909.06-004150.5,9.787734,-0.69737208
2450,J010353.36-005002.1,15.972345,-0.83391476
2451,J010942.21-004417.5,17.42588,-0.73818666
2452,J020446.91-003939.5,31.19545,-0.6609754
2453,J023126.61-004735.0,37.860867,-0.79305011
2454,J030901.18-004418.4,47.254906,-0.73844463
2456,J002940.44-002454.7,7.4184847,-0.41519812
2458,J014503.30-001805.5,26.263765,-0.30153605
2459,J025325.29-001356.7,43.355358,-0.23240891
2460,J030613.78-002029.7,46.557411,-0.34158698
2461,J001601.60+001048.3,4.0066543,0.18007332
2463,J014907.60+000729.3,27.281656,0.12479382
2464,J015343.83+001101.8,28.43264,0.18382163
2465,J030959.88+000526.2,47.499504,0.090602048
2466,J033733.67+000841.3,54.390301,0.14480445
2467,J230805.64+003423.2,347.0235,0.57309937
2468,J001144.08+003125.4,2.9336541,0.52371579
2469,J012029.48+003508.7,20.122841,0.58576232
2470,J023750.73+003428.7,39.461384,0.57462597
2472,J032606.84+003242.2,51.528503,0.54505742
2473,J000832.55+010220.5,2.1356323,1.0390346
2474,J012218.11+010025.8,20.57547,1.0071785
2475,J033021.49+010233.0,52.589539,1.0424963
2476,J100904.37+391655.6,152.26822,39.282108
2477,J095438.58+393227.0,148.66077,39.54084
2478,J095559.89+395446.9,148.99953,39.913025
2479,J085727.08+294611.1,134.36282,29.769756
2480,J080423.87+224353.4,121.09945,22.731487
2481,J084557.91+291842.7,131.49129,29.311855
2482,J085329.73+301643.9,133.37386,30.278852
2483,J074943.32+183441.6,117.43048,18.57823
2484,J075035.98+184945.8,117.6499,18.829397
2488,J083530.67+272713.9,128.87781,27.45385
2489,J081357.39+243205.6,123.48914,24.534897
2490,J085648.30+305140.0,134.20125,30.861118
2491,J094707.07+344528.1,146.77946,34.757805
2493,J092957.27+335320.4,142.48862,33.889004
2494,J100419.42+370153.7,151.08093,37.03159
2495,J102101.41+382721.4,155.25587,38.455933
2496,J102458.66+383351.5,156.24442,38.564297
2497,J095021.38+362152.5,147.58908,36.36459
2498,J102950.11+394727.0,157.45879,39.790825
2499,J094415.25+363950.7,146.06355,36.66407
2500,J105021.59+412750.5,162.58997,41.464027
2501,J115532.57+461311.6,178.88571,46.219887
2503,J111158.96+453226.4,167.99567,45.540668
2504,J104536.57+443708.6,161.40237,44.619053
2505,J111541.46+460742.5,168.92273,46.128464
2506,J112227.81+461451.7,170.61588,46.247704
2507,J103333.24+441805.2,158.3885,44.301445
2508,J103644.97+443706.1,159.18736,44.618351
2509,J122620.10+473145.6,186.58376,47.529346
2510,J112232.10+473814.9,170.63376,47.637482
2511,J130118.36+480330.5,195.32649,48.058472
2512,J140340.27+431322.5,210.9178,43.222923
2513,J142745.57+425925.3,216.93988,42.990364
