,ID,ra,dec
599,J135534.26-023958.9,208.89273,-2.6663594
600,J140707.03-023451.3,211.7793,-2.5809233
601,J132841.91-022125.4,202.17464,-2.3570473
603,J133932.80-015548.2,204.88667,-1.9300456
606,J132525.52-012219.4,201.35632,-1.3720632
607,J132935.99-013210.0,202.39996,-1.5360996
609,J140531.65-012147.9,211.38187,-1.3633065
610,J132349.24-013032.8,200.95517,-1.5091243
611,J132415.12-032459.8,201.063,-3.4166148
612,J134719.64-030946.4,206.83182,-3.1628833
613,J141813.44-030715.9,214.55598,-3.1210744
615,J143400.96-030338.3,218.50401,-3.0606518
616,J143615.47-030308.2,219.06447,-3.05229
617,J150715.37-024437.9,226.81403,-2.7438641
618,J143414.58-024101.7,218.56075,-2.6838126
619,J132652.12-023436.7,201.71716,-2.576859
620,J134426.85-022415.4,206.11189,-2.4042804
621,J143143.18-021248.8,217.9299,-2.2135577
623,J153101.04-014828.4,232.75432,-1.8078859
624,J133010.33-020618.0,202.54303,-2.1050124
625,J134503.65-015541.2,206.2652,-1.9281161
626,J151522.60-013042.3,228.84415,-1.5117449
627,J153237.59-012351.7,233.15662,-1.3976836
628,J133110.83-014348.9,202.79512,-1.7302587
629,J133550.10-013831.6,203.95877,-1.6420981
631,J134458.30-012941.2,206.24292,-1.494769
632,J134855.70-013426.1,207.23209,-1.5739241
634,J140242.95-011153.5,210.67897,-1.1981906
635,J141512.37-010742.8,213.80153,-1.1285456
636,J170254.44+341040.3,255.72685,34.177864
637,J172404.46+271719.7,261.01859,27.288803
638,J171353.17+315743.9,258.47153,31.962181
640,J153311.23-021838.5,233.29678,-2.3106873
641,J151834.68-013743.8,229.6445,-1.6288275
642,J142810.03-014036.6,217.04178,-1.6768205
643,J145033.57-012908.0,222.63988,-1.4855678
646,J140748.93+060241.6,211.95386,6.0448966
647,J141109.60+061802.8,212.79002,6.3007793
650,J144059.38+061351.7,220.24741,6.2310257
651,J140901.92+070823.7,212.25798,7.1399264
652,J161220.68+043602.5,243.08617,4.6007066
653,J212547.83+095152.3,321.44928,9.8645191
654,J230016.25+125816.7,345.06772,12.971313
655,J233031.93+135417.8,352.63303,13.904943
656,J000020.24+141109.9,0.084314786,14.18609
657,J221554.71+123700.1,333.97797,12.616693
658,J231558.75+140535.6,348.99481,14.093227
659,J000103.60+143448.7,0.26499966,14.580183
660,J211407.35+103634.4,318.53064,10.609555
661,J232416.64+144008.9,351.06934,14.66913
662,J234204.33+145355.7,355.51804,14.898805
663,J211402.58+110007.8,318.51077,11.002173
664,J212911.13+114303.0,322.29636,11.717506
665,J223515.06+140408.8,338.81274,14.069101
667,J230217.68+143727.4,345.57367,14.624272
668,J230729.30+144957.2,346.87207,14.832569
669,J215906.14-091742.7,329.77557,-9.2951899
670,J220408.61-093504.7,331.03586,-9.5846281
671,J220607.65-092752.2,331.53186,-9.4645052
672,J222137.49-093329.2,335.40622,-9.5581055
673,J222714.95-093935.8,336.81229,-9.6599369
677,J222248.80-090214.4,335.70334,-9.0373373
679,J214335.90-010339.1,325.89957,-1.060858
681,J210041.12-001649.1,315.17133,-0.280303
682,J210444.88-001256.9,316.18698,-0.21580362
685,J211644.68+001022.5,319.18616,0.17291261
687,J213817.47+003106.3,324.57278,0.51841098
688,J210603.76-005625.1,316.51566,-0.94030631
689,J211247.82-010242.4,318.19925,-1.0451003
690,J205502.10-000223.9,313.75873,-0.039962258
693,J002707.69-005020.9,6.7820282,-0.83914125
694,J002820.24-005131.8,7.0843415,-0.8588326
695,J231154.37-003444.7,347.97653,-0.5790866
696,J233821.11-003627.2,354.58795,-0.60755056
698,J001829.49-003221.2,4.6228566,-0.53921151
700,J232501.85-000001.4,351.25769,-0.00039706854
701,J002854.85-000423.0,7.2285457,-0.073046438
702,J213412.28+002453.0,323.55118,0.41473183
703,J213739.62+002252.0,324.4151,0.38112432
704,J220419.23+002052.1,331.08014,0.34780475
705,J235410.08+002258.3,358.54199,0.38286215
706,J001755.39+002006.9,4.4807854,0.33523783
708,J003122.70+002149.3,7.8445773,0.3637059
709,J005228.13+002233.8,13.117222,0.3760502
710,J005257.80+002207.5,13.240838,0.36876091
712,J222910.25+003857.7,337.29269,0.64935666
713,J223339.81+004011.3,338.41586,0.66979814
714,J235958.29+004208.7,359.99289,0.70240551
715,J000249.07+004504.8,0.70445281,0.75133634
716,J002027.51+005000.8,5.1146374,0.83355427
717,J002252.57+004548.2,5.7190609,0.76340169
718,J005554.67+003929.1,13.977781,0.6580891
719,J213338.45+010407.2,323.41022,1.068671
720,J224730.72+011012.7,341.87799,1.1702015
722,J110333.54+544638.9,165.88977,54.777477
723,J094625.03+502506.3,146.60431,50.418427
724,J100540.62+523806.1,151.41927,52.635017
725,J102808.16+541854.7,157.03398,54.315189
726,J103642.75+544735.6,159.17813,54.793232
727,J105908.82+555713.0,164.78673,55.953617
728,J104921.45+555336.8,162.33937,55.893566
729,J110840.27+564729.8,167.16779,56.791622
731,J012222.12-005954.8,20.592176,-0.99855274
732,J022842.25-005047.3,37.176041,-0.84647477
734,J031248.49-010019.2,48.202038,-1.0053318
737,J031545.69-002949.1,48.940395,-0.4969689
738,J031605.97-002624.5,49.024868,-0.44014174
739,J010322.96-001224.8,15.845675,-0.20688729
740,J011356.52-001132.0,18.485508,-0.19222695
743,J022302.26-000837.2,35.759434,-0.14367296
745,J014811.38+002007.5,27.047396,0.33542639
746,J033213.20+001546.7,53.055019,0.26298389
747,J014324.19+005009.3,25.850784,0.83590913
748,J014648.47+004108.7,26.701963,0.68575996
749,J015328.92+004948.0,28.370514,0.83000737
750,J010639.01+010902.2,16.662537,1.1506006
751,J013706.90+010312.8,24.278761,1.0535619
752,J023558.17+011529.2,38.992378,1.2581083
753,J085045.47+401042.4,132.68947,40.178455
754,J085057.24+401134.5,132.73849,40.192913
756,J091555.53+441958.0,138.98137,44.332783
758,J074924.01+292604.5,117.35004,29.434587
759,J075128.56+294352.6,117.86902,29.731272
760,J094656.29+492116.6,146.73456,49.354599
763,J094116.38+463911.0,145.31827,46.653057
764,J091118.36+432743.7,137.82649,43.462128
765,J080139.86+312934.6,120.4161,31.492937
766,J084902.88+404037.0,132.26198,40.676937
767,J081620.86+351837.6,124.08691,35.31044
768,J085601.87+421624.6,134.00778,42.273502
769,J081020.07+343013.1,122.58363,34.503632
770,J081931.31+362641.9,124.88044,36.444981
771,J083538.65+393325.3,128.91103,39.557026
772,J083954.61+401716.0,129.97755,40.287766
773,J084210.74+404521.4,130.54475,40.755939
774,J091645.72+454844.5,139.19052,45.812366
776,J114700.90+534715.7,176.75375,53.787697
777,J114823.39+534943.0,177.09746,53.828621
778,J112036.38+532627.3,170.1516,53.440914
779,J115129.70+541329.6,177.87376,54.224892
780,J120532.03+542140.4,181.38345,54.36121
781,J123035.80+542648.7,187.64917,54.446861
782,J101133.01+501705.5,152.88753,50.284866
783,J113909.39+542501.5,174.78912,54.417072
784,J115907.01+544809.0,179.77919,54.802502
785,J122146.23+545333.6,185.44263,54.892662
786,J114257.85+545718.8,175.74104,54.955231
787,J122041.07+552318.0,185.17113,55.388332
788,J102609.25+521859.7,156.53854,52.316574
789,J111947.31+544855.6,169.94711,54.815434
791,J113139.11+551252.6,172.91296,55.214607
792,J113540.01+551058.1,173.91669,55.1828
793,J114148.87+552336.8,175.45364,55.393551
794,J115134.48+553242.6,177.89366,55.545166
795,J100642.45+511623.9,151.67686,51.273319
796,J103253.22+530647.7,158.22174,53.113262
797,J113949.20+554552.7,174.95502,55.764626
798,J121702.90+560829.0,184.2621,56.141392
799,J081022.43+350611.1,122.59345,35.103085
800,J081005.59+350954.9,122.52331,35.165253
802,J083144.63+394014.1,127.93596,39.670582
803,J082056.92+383802.2,125.23717,38.633957
804,J081625.73+383553.0,124.10722,38.598053
805,J081758.00+364409.9,124.49168,36.736076
806,J073806.63+270757.1,114.52763,27.132523
807,J074308.62+283303.6,115.78593,28.551012
808,J075424.56+314733.9,118.60234,31.792761
811,J074623.34+310118.7,116.59724,31.021858
812,J082940.48+405727.5,127.41867,40.957638
813,J085542.42+455107.7,133.92674,45.852142
815,J113218.80+555540.8,173.07832,55.928005
816,J113857.19+560612.0,174.73831,56.10334
817,J114206.87+561124.6,175.52864,56.190155
818,J120855.39+563314.8,182.23079,56.554115
819,J122950.46+563428.5,187.46025,56.574585
820,J110925.69+560956.9,167.35703,56.165798
822,J113632.61+565923.0,174.13589,56.989716
823,J123626.09+571512.7,189.10872,57.253521
824,J105140.85+552020.3,162.9202,55.338959
826,J112931.96+570528.0,172.38315,57.091122
827,J114739.44+573842.9,176.91432,57.645256
828,J115708.21+574646.5,179.28419,57.779583
829,J120928.28+574258.4,182.36783,57.716228
830,J115335.79+580731.6,178.39912,58.125446
832,J093029.66+475512.0,142.62358,47.919991
833,J092225.30+471439.9,140.60542,47.244427
835,J091219.69+473448.2,138.08205,47.580048
836,J104136.60+540348.7,160.40248,54.063541
