ID,RA,DEC,CLASS
J133932.80-015548.2,204.88667,-1.9300456,exclude
J140531.65-012147.9,211.38187,-1.3633065,exclude
J143143.18-021248.8,217.9299,-2.2135577,exclude
J134503.65-015541.2,206.2652,-1.9281161,disturbed
J141512.37-010742.8,213.80153,-1.1285456,uncertain
J153311.23-021838.5,233.29678,-2.3106873,uncertain
J151834.68-013743.8,229.6445,-1.6288275,exclude
J140748.93+060241.6,211.95386,6.0448966,exclude
J212547.83+095152.3,321.44928,9.8645191,exclude
J231558.75+140535.6,348.99481,14.093227,disturbed
J232416.64+144008.9,351.06934,14.66913,uncertain
J212911.13+114303.0,322.29636,11.717506,exclude
J230217.68+143727.4,345.57367,14.624272,uncertain
J220408.61-093504.7,331.03586,-9.5846281,exclude
J220607.65-092752.2,331.53186,-9.4645052,exclude
J210041.12-001649.1,315.17133,-0.280303,exclude
J211644.68+001022.5,319.18616,0.17291261,exclude
J210603.76-005625.1,316.51566,-0.94030631,exclude
J213739.62+002252.0,324.4151,0.38112432,exclude
J003122.70+002149.3,7.8445773,0.3637059,exclude
J005257.80+002207.5,13.240838,0.36876091,disturbed
J031605.97-002624.5,49.024868,-0.44014174,disturbed
J014324.19+005009.3,25.850784,0.83590913,exclude
J014648.47+004108.7,26.701963,0.68575996,disturbed
J023558.17+011529.2,38.992378,1.2581083,exclude
J074924.01+292604.5,117.35004,29.434587,exclude
J094656.29+492116.6,146.73456,49.354599,exclude
J080139.86+312934.6,120.4161,31.492937,exclude
J091645.72+454844.5,139.19052,45.812366,exclude
J112036.38+532627.3,170.1516,53.440914,exclude
J122146.23+545333.6,185.44263,54.892662,disturbed
J102609.25+521859.7,156.53854,52.316574,uncertain
J111947.31+544855.6,169.94711,54.815434,uncertain
J113139.11+551252.6,172.91296,55.214607,exclude
J114148.87+552336.8,175.45364,55.393551,uncertain
J115134.48+553242.6,177.89366,55.545166,uncertain
J100642.45+511623.9,151.67686,51.273319,uncertain
J113949.20+554552.7,174.95502,55.764626,exclude
J081022.43+350611.1,122.59345,35.103085,uncertain
J081005.59+350954.9,122.52331,35.165253,exclude
J082056.92+383802.2,125.23717,38.633957,exclude
J074623.34+310118.7,116.59724,31.021858,uncertain
J113218.80+555540.8,173.07832,55.928005,uncertain
J120855.39+563314.8,182.23079,56.554115,uncertain
J122950.46+563428.5,187.46025,56.574585,uncertain
J110925.69+560956.9,167.35703,56.165798,exclude
J113632.61+565923.0,174.13589,56.989716,uncertain
J112931.96+570528.0,172.38315,57.091122,exclude
J115708.21+574646.5,179.28419,57.779583,disturbed
J120928.28+574258.4,182.36783,57.716228,uncertain
J093029.66+475512.0,142.62358,47.919991,exclude
J092225.30+471439.9,140.60542,47.244427,uncertain
J104136.60+540348.7,160.40248,54.063541,uncertain
J085849.90+390143.6,134.70792,39.028782,uncertain
J082854.33+343906.0,127.22636,34.651657,disturbed
J082949.83+344550.5,127.45762,34.764023,uncertain
J083815.90+365035.4,129.56625,36.843155,disturbed
J085949.49+402121.4,134.95621,40.355946,disturbed
J080038.77+300553.3,120.16156,30.098131,exclude
J080948.84+315702.6,122.45352,31.95071,exclude
J115749.73+530428.0,179.45721,53.074436,disturbed
J095357.91+435812.5,148.4913,43.970131,exclude
J085704.23+373432.3,134.26761,37.575649,exclude
J075937.79+265729.6,119.90745,26.958212,exclude
J075916.02+270857.7,119.81676,27.149359,exclude
J082416.49+302859.0,126.06869,30.483055,exclude
J081200.34+292345.9,123.0014,29.396076,exclude
J122341.71+490911.0,185.92378,49.153053,uncertain
J084826.43+351020.0,132.11014,35.172211,exclude
J095936.59+434147.9,149.90247,43.696632,exclude
J124932.58+491149.1,192.38576,49.196983,uncertain
J090611.78+384651.8,136.5491,38.781055,exclude
J150042.54+423918.6,225.17723,42.65517,exclude
J141914.42+464303.0,214.81007,46.717506,exclude
J105753.11+062245.3,164.4713,6.3792439,uncertain
J081753.90+032235.7,124.47457,3.37657,disturbed
J082324.86+040214.0,125.85357,4.0372152,exclude
J091918.28+054717.5,139.82617,5.7881942,uncertain
J092410.58+061618.8,141.0441,6.2718883,uncertain
J105237.40+080024.2,163.15582,8.0067215,disturbed
J104937.24+575141.1,162.40515,57.861416,uncertain
J101153.93+570316.0,152.97472,57.05444,exclude
J110116.41+065737.4,165.31837,6.960381,uncertain
J081307.47+034918.1,123.28111,3.8217013,uncertain
J105142.84+071740.9,162.92848,7.2946849,uncertain
J083308.15+045132.8,128.28394,4.8591018,uncertain
J111907.48+085354.5,169.78116,8.8984594,uncertain
J123022.67+091858.3,187.59444,9.3161926,uncertain
J085003.88+063733.2,132.51616,6.625886,uncertain
J122419.48+102646.8,186.08116,10.446334,disturbed
J120157.78+541111.5,180.49075,54.186527,exclude
J100944.14+495018.3,152.43393,49.838428,exclude
J114555.32+551642.2,176.4805,55.278381,uncertain
J130727.87+545749.5,196.86612,54.963749,uncertain
J115910.01+555134.9,179.7917,55.859707,uncertain
J162820.56+324834.8,247.08568,32.809662,disturbed
J151944.18+450129.5,229.9341,45.024872,uncertain
J165539.38+264031.6,253.91409,26.675453,exclude
J152956.42+440238.3,232.48508,44.043976,exclude
J163511.41+321700.9,248.79753,32.283577,uncertain
J140712.65+522644.3,211.80272,52.445652,uncertain
J154721.26+420613.9,236.83859,42.103855,uncertain
J143649.81+505945.6,219.20755,50.995991,uncertain
J143042.76+551552.0,217.67816,55.264454,uncertain
J162614.89+332910.8,246.56204,33.486324,disturbed
J163034.07+323326.5,247.64195,32.557373,disturbed
J162001.60+373518.0,245.00667,37.588322,exclude
J152209.60+482331.6,230.53998,48.392109,disturbed
J162906.83+373212.4,247.27844,37.536777,disturbed
J162831.12+393125.2,247.12965,39.523655,uncertain
J162439.54+410111.8,246.16476,41.019955,disturbed
J222721.06-004041.1,336.83777,-0.67809087,uncertain
J092006.28+063343.6,140.02617,6.5621238,uncertain
J091428.18+074107.3,138.61742,7.6853728,uncertain
J100941.44+072627.1,152.42265,7.4408684,uncertain
J101110.66+084817.5,152.79443,8.8048725,uncertain
J102756.57+091513.7,156.9857,9.2537947,uncertain
J113221.87+085050.5,173.09114,8.8473501,uncertain
J114328.50+094947.2,175.86874,9.8297691,exclude
J081041.05+060237.9,122.67104,6.0438728,exclude
J093111.33+095301.0,142.79721,9.8836117,uncertain
J103746.00+114858.9,159.44165,11.816365,disturbed
