ID,RA,DEC,CLASS
J145842.42+570006.7,224.67674,57.001858,uncertain
J152945.85+533431.7,232.44104,53.575474,uncertain
J075558.11+265311.3,118.99213,26.886475,uncertain
J112852.40+510002.5,172.21835,51.000694,uncertain
J075737.79+281817.1,119.40746,28.304743,uncertain
J115602.60+525739.9,179.01085,52.961079,uncertain
J115326.73+531554.1,178.36137,53.265041,uncertain
J005629.21-011336.3,14.121703,-1.2267512,uncertain
J023126.61-004735.0,37.860867,-0.79305011,disturbed
J002940.44-002454.7,7.4184847,-0.41519812,disturbed
J023750.73+003428.7,39.461384,0.57462597,exclude
J085727.08+294611.1,134.36282,29.769756,exclude
J080423.87+224353.4,121.09945,22.731487,disturbed
J095021.38+362152.5,147.58908,36.36459,uncertain
J102950.11+394727.0,157.45879,39.790825,exclude
J104536.57+443708.6,161.40237,44.619053,uncertain
J112232.10+473814.9,170.63376,47.637482,exclude
J114932.95+115954.4,177.38728,11.998436,overlap
J112041.77+120830.3,170.17403,12.141748,overlap
J123634.26+111420.0,189.14276,11.238875,big
J114231.69+443628.7,175.63205,44.607975,uncertain
J144514.16+384343.9,221.30901,38.728855,big
J144523.26+384651.6,221.34691,38.781006,disturbed
J102727.51+414857.7,156.86464,41.816025,uncertain
J145237.56+390103.1,223.15651,39.017529,disturbed
J140557.43+101910.2,211.48929,10.3195,disturbed
J124610.10+115452.6,191.54207,11.914605,disturbed
J112954.41+123040.4,172.4767,12.511235,uncertain
J161839.56+070211.3,244.66483,7.0364623,disturbed
J113053.46+132323.7,172.72273,13.389905,disturbed
J121510.00+411718.5,183.79167,41.288467,overlap
J121845.40+411847.9,184.68918,41.313305,uncertain
J105738.59+410317.8,164.41078,41.054932,disturbed
J121942.14+420431.8,184.92558,42.075512,exclude
J105703.65+403528.0,164.26521,40.591103,exclude
J121329.49+422703.5,183.37289,42.450977,exclude
J112740.08+420018.8,171.91698,42.00523,exclude
J123208.31+424547.9,188.03464,42.763313,exclude
J110403.42+413703.3,166.01427,41.617577,uncertain
J123957.93+431234.1,189.99139,43.209469,uncertain
J112531.81+380338.1,171.38255,38.060574,disturbed
J091629.40+295543.0,139.12248,29.928608,disturbed
J144932.47+332353.6,222.3853,33.398212,overlap
J134912.19+375644.1,207.30081,37.94558,disturbed
J135837.98+372528.1,209.65826,37.424477,big
J103635.14+374228.5,159.14641,37.70792,disturbed
J105016.03+382618.7,162.5668,38.438515,disturbed
J124627.12+404502.7,191.61298,40.750763,disturbed
J135046.00+384906.2,207.69168,38.818394,uncertain
J140721.71+485035.2,211.84045,48.843113,disturbed
J155652.63+371405.7,239.2193,37.234913,uncertain
J163305.25+265252.9,248.27188,26.881371,uncertain
J090437.69+182758.4,136.15703,18.466228,disturbed
J120202.16+500344.4,180.509,50.062332,uncertain
J084736.84+340142.6,131.9035,34.028511,disturbed
J103425.08+453017.0,158.60451,45.504726,disturbed
J134538.39+004148.2,206.40997,0.69671601,disturbed
J124440.38+010846.2,191.16826,1.1461713,uncertain
