ID,RA,DEC,CLASS
J131017.89-004023.4,197.57454,-0.67317915,disturbed
J145544.63+005158.0,223.93597,0.86612374,disturbed
J033637.00-064529.9,54.154167,-6.7583008,disturbed
J134049.14+654926.1,205.20473,65.823921,disturbed
J115712.45+022828.0,179.30186,2.4744351,disturbed
J093127.90+015929.6,142.86623,1.9915664,disturbed
J112127.98+032454.4,170.36658,3.4151087,uncertain
J145522.85+033654.6,223.8452,3.6151786,disturbed
J014137.22-091435.2,25.405096,-9.2431154,disturbed
J225608.34+130337.9,344.03473,13.06052,disturbed
J102750.83+023633.9,156.96179,2.6094205,disturbed
J155425.88+034117.1,238.60785,3.6880841,exclude
J121247.46+591121.9,183.19774,59.189423,exclude
J090440.26+495815.8,136.16777,49.971054,exclude
J141615.62-012752.6,214.06508,-1.4646215,disturbed
J153222.88-010450.5,233.09535,-1.0806926,uncertain
J203848.55-001334.9,309.7023,-0.2263504,disturbed
J024112.93-005236.9,40.303883,-0.8769241,uncertain
J084021.03+385527.8,130.08762,38.924393,exclude
J090001.04+451636.5,135.00433,45.276814,uncertain
J090140.28+372410.3,135.41782,37.402874,uncertain
J121039.45+363652.2,182.66437,36.614491,uncertain
J105842.58+314459.8,164.6774,31.749935,disturbed
J085434.42+134812.3,133.64343,13.803415,disturbed
J081735.25+470716.3,124.39689,47.121181,uncertain
J002944.70+001008.7,7.4362373,0.16907749,uncertain
J153039.53+335541.8,232.66472,33.92828,disturbed
J133717.81+433451.7,204.3242,43.581028,uncertain
J131248.38+432912.9,198.20158,43.486927,uncertain
J101214.82+351340.6,153.06174,35.227943,uncertain
